Page,Title,Price,Sold,Date
3,"Apple iPhone 15 Pro - 6.1"" Inch Display","Rs. 230,990",13 sold,2024-08-06 13:06:30.964817+00:00
3,"Apple iphone 14 Pro Max - 6.7"" Inch Display - factory unlocked - 1 Year Official Warranty","Rs. 320,000",,2024-08-06 13:06:30.964817+00:00
3,"VNUS Rock 1 - 6.26"" Inch Display - 1GB RAM - 32GB ROM","Rs. 11,999",40 sold,2024-08-06 13:06:30.964817+00:00
3,Infinix Hot 40 - 8GB RAM 128GB/256GB ROM - 6.78 Inches Display - IPS LCD -  Dual SIM - 5000mAh Battery,"Rs. 37,499",14 sold,2024-08-06 13:06:30.965818+00:00
3,Infinix Note 40 Pro RAM 12GB ROM 256GB CAMERA 108 MP Fast Charging One Year Brand Warranty Offcial,"Rs. 80,990",25 sold,2024-08-06 13:06:30.965818+00:00
3,Samsung Galaxy A05 - 6GB 128GB - PTA Approved 1 Year Official Warranty,"Rs. 35,999",18 sold,2024-08-06 13:06:30.966821+00:00
3,"Tecno Pova 5 Pro RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 50 MP, f/1.6, (wide), PDAF 0.08 MP, (depth) Battery Type Li-Po 5000 mAh, non-removable","Rs. 49,500",,2024-08-06 13:06:30.967815+00:00
3,Tecno Camon 30 Pro 5G 512 GB - 12 GB RAM   Front Camera	50MP AF Back Camera	50MP + 2MP Battery Type	5000mAh,"Rs. 99,999",5 sold,2024-08-06 13:06:30.968824+00:00
3,OnePlus 9 Pro Dual Sim 12GB Ram 256GB Rom,"Rs. 128,000",40 sold,2024-08-06 13:06:30.968824+00:00
3,Realme Note 50 - 4GB RAM 64GB/128GB ROM - 6.7 Inches Display - IPS LCD - Dual SIM - 5000mAh Battery,"Rs. 24,999",28 sold,2024-08-06 13:06:30.969818+00:00
3,SAMSUNG GALAXY A04 = 3GB RAM = 32GB ROM = 5000mAh BATTERY,"Rs. 19,699",10 sold,2024-08-06 13:06:30.971170+00:00
3,Samsung A05 - 4GB RAM 64GB/128GB ROM - 6.7 Inches Display - Dual SIM - 5000mAh Battery,"Rs. 26,999",,2024-08-06 13:06:30.971170+00:00
3,Sparx Neo 7 Ultra - 6GB RAM 128GB ROM - 6.5 Inches Display - 5000mAh Battery,"Rs. 25,499",7 sold,2024-08-06 13:06:30.972170+00:00
3,"Samsung Galaxy A55 5G - 8GB 256GB - 6.6"" Display - 5000 mAh Battery - PTA Approved 1 Year Official Warranty","Rs. 138,999",16 sold,2024-08-06 13:06:30.972170+00:00
3,"OPPO A58 - 6.72"" FHD+ Display - Octa cores up to 2.0GHz - 8GB RAM 128GB ROM - 33W SUPERVOOC Charging - Rear Camera 50MP + 2MP - 5000mAh Battery - PTA Approved","Rs. 47,999",10 sold,2024-08-06 13:06:30.972170+00:00
3,Redmi 13c - 6GB RAM  128GB ROM -  6.74 Inches Display - IPS LCD - Dual SIM - 5000mAh Battery,"Rs. 31,999",5 sold,2024-08-06 13:06:30.973175+00:00
3,"Infinix Note 40 - 6.78"" Inch AMOLED Display - 8GB RAM - 256GB ROM","Rs. 53,899",18 sold,2024-08-06 13:06:30.973175+00:00
3,Motorola Moto Edge 2021 6GB Ram 256GB Rom Single Sim,"Rs. 60,000",5 sold,2024-08-06 13:06:30.974176+00:00
3,Sony Xperia 5 Mark 2 -  8GB RAM - 128GB ROM - 4000mAh Battery - Official PTA Approved  (Xperia 5ii),"Rs. 63,650",6 sold,2024-08-06 13:06:30.975175+00:00
3,Realme C53 - 6GB RAM 128GB ROM - 6.74 Inches Display - IPS LCD - Octa-Core Processor - Dual SIM - 5000mAh Battery,"Rs. 38,999",7 sold,2024-08-06 13:06:30.975175+00:00
3,"Redmi 13C - 6.74"" Inch Display - 4GB RAM - 128GB ROM","Rs. 29,399",20 sold,2024-08-06 13:06:30.975175+00:00
3,"Itel Flip 1 2.4"" Display With Camera 1200 mAh Battery Wireless FM Dual Sim","Rs. 7,499",20 sold,2024-08-06 13:06:30.976176+00:00
3,Etachi ipro max Keypad Phone Dual Sim Official PTA Approved With One Year Brand Warranty Box Pack,"Rs. 8,000",53 sold,2024-08-06 13:06:30.978177+00:00
3,"Tecno Spark 20 Pro Plus (8GB-256GB) Display 6.78"" PTA Approved 1 Year Official Warranty","Rs. 57,499",,2024-08-06 13:06:30.978177+00:00
3,"Itel A70 Pro || 4GB+8GB Ram + 256GB Memory || 6.6"" IPS Dispaly || Battery Non-removable Li-Po 5000mAh Battery Charging 10W","Rs. 25,999",28 sold,2024-08-06 13:06:30.978177+00:00
3,"Apple iphone 15 Plus - 128 GB - 6.7"" Inch Display - JV (Factory Locked) - 1 Year Official Warranty","Rs. 184,999",,2024-08-06 13:06:30.979687+00:00
1,"Realme C51 - 6.74"" Inch Display - 3GB+4GB Extended RAM - 64GB ROM","Rs. 24,499",7 sold,2024-08-06 13:06:53.481018+00:00
1,"Itel Flip 1 2.4"" Display With Camera 1200 mAh Battery Wireless FM Dual Sim","Rs. 7,499",20 sold,2024-08-06 13:06:53.482037+00:00
1,Vivo V30e - 6.78 Inches Display - 8GB RAM 256GB ROM - 32MP Front Camera - 50MP + 8MP Rear Camera - Dual SIM - 5500mAh Battery,"Rs. 93,999",20 sold,2024-08-06 13:06:53.482037+00:00
1,"TECNO SPARK 20 128GB ROM+16GB RAM*(8GB+8GB Extended) 5000mAh(typ) BATTERY  6.6"" HD+ 90Hz Refresh Rate PTA APPROVED OFFICIAL BRAND WARRANTY","Rs. 32,999",137 sold,2024-08-06 13:06:53.483003+00:00
1,"Samsung Galaxy A05 - 6.7"" Inch Display - 4GB RAM - 64GB ROM","Rs. 25,850",27 sold,2024-08-06 13:06:53.484002+00:00
1,"Itel A70 Pro || 4GB+8GB Ram + 256GB Memory || 6.6"" IPS Dispaly || Battery Non-removable Li-Po 5000mAh Battery Charging 10W","Rs. 25,999",28 sold,2024-08-06 13:06:53.484002+00:00
1,realme C65 (Unbreakable Champion) 8GB RAM+ 256GB ROM 5000mAh Battery,"Rs. 49,999",,2024-08-06 13:06:53.484002+00:00
1,Samsung Galaxy A05 - 4GB 64GB - PTA Approved 1 Year Official Warranty,"Rs. 25,999",40 sold,2024-08-06 13:06:53.485004+00:00
1,"Samsung A15 -13MP Front Camera - 50MP+5MP+2MP Triple Rear Camera - 6GB RAM 128GB ROM - 6.5 Inches  Super AMOLED Display - Dual SIM - USB Type-C - 5000 mAh, non-removable - 1 Year Warranty","Rs. 52,999",21 sold,2024-08-06 13:06:53.485004+00:00
1,"Samsung Galaxy A05s - 6.7"" Inch Display - 6GB RAM - 128GB ROM","Rs. 44,899",21 sold,2024-08-06 13:06:53.486028+00:00
1,"Infinix Note 40 - 6.78"" Inch AMOLED Display - 8GB RAM - 256GB ROM","Rs. 53,899",18 sold,2024-08-06 13:06:53.486028+00:00
1,Etachi ipro max Keypad Phone Dual Sim Official PTA Approved With One Year Brand Warranty Box Pack,"Rs. 8,000",53 sold,2024-08-06 13:06:53.486028+00:00
1,Redmi Note 13 - 8GB RAM 128GB/256GB ROM - 6.67 Inches Display - AMOLED LCD - Dual SIM - 5000mAh Battery,"Rs. 52,499",9 sold,2024-08-06 13:06:53.487028+00:00
1,iPhone 8 64GB (Non-PTA),"Rs. 28,999",68 sold,2024-08-06 13:06:53.487028+00:00
